model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_1_AutoML_1_20240830_174212,0.823749866152693,0.2833869985822384,0.7534973217064339,0.2045454545454545,0.2759340797575675,0.0761396163716556
GBM_grid_1_AutoML_1_20240830_174212_model_46,0.822464932005568,0.2752021242661094,0.7617294131879353,0.1893939393939394,0.2651698645048354,0.0703150570415127
GBM_grid_1_AutoML_1_20240830_174212_model_6,0.8213941535496306,0.2788480469528718,0.7558511783665266,0.1848431309562051,0.2676826788361108,0.0716540165488764
GBM_grid_1_AutoML_1_20240830_174212_model_79,0.82123353678124,0.287751866338798,0.7509619305390828,0.192927508298533,0.2717001367492043,0.0738209643095363
GBM_grid_1_AutoML_1_20240830_174212_model_80,0.8204304529392868,0.2780267291500347,0.7523768264580462,0.1969696969696969,0.2684870872445725,0.0720853160170746
StackedEnsemble_BestOfFamily_2_AutoML_1_20240830_174212,0.8197879858657244,0.2870253368318837,0.748379649042324,0.1987364814219938,0.275191716983962,0.075730481096581
GBM_grid_1_AutoML_1_20240830_174212_model_36,0.8197344469429275,0.2810297616395343,0.7482585767918173,0.2045454545454545,0.269923624494811,0.0728587630604157
GBM_grid_1_AutoML_1_20240830_174212_model_71,0.8194667523289432,0.284755719689827,0.7538148916725278,0.1853517507227754,0.2701893495521638,0.0730022846114213
GBM_grid_1_AutoML_1_20240830_174212_model_3,0.8192525966377556,0.2832640012030623,0.7507737488605278,0.1911607238462362,0.2692761316168759,0.0725096350585491
GBM_grid_1_AutoML_1_20240830_174212_model_41,0.8183424349502089,0.2832396005400756,0.7457727314035828,0.192927508298533,0.2711105764814956,0.0735009446801289
StackedEnsemble_AllModels_1_AutoML_1_20240830_174212,0.816575650497912,0.2778187048862545,0.7545596702380828,0.1969696969696969,0.2691544144102701,0.0724440987965354
GBM_grid_1_AutoML_1_20240830_174212_model_60,0.8158796445015527,0.2790918639528404,0.7547576514673969,0.1911607238462362,0.2672927279710911,0.0714454024262277
StackedEnsemble_BestOfFamily_3_AutoML_1_20240830_174212,0.814862404968412,0.2844219626756967,0.7499328249206049,0.2045454545454545,0.2726899422745399,0.0743598046176919
GBM_grid_1_AutoML_1_20240830_174212_model_77,0.8145947103544277,0.2832723500415685,0.7550614473161448,0.1969696969696969,0.2671287430158959,0.0713577653452525
GBM_grid_1_AutoML_1_20240830_174212_model_83,0.8137916265124746,0.2886609160780421,0.7468663155414487,0.2045454545454545,0.2708244881634047,0.0733459033889701
GBM_grid_1_AutoML_1_20240830_174212_model_68,0.8133097762073027,0.3004884288437149,0.7430381697561066,0.2045454545454545,0.2728769290632239,0.0744618184149757
GBM_grid_1_AutoML_1_20240830_174212_model_42,0.8119177642145841,0.285597510444749,0.7474093038535855,0.1969696969696969,0.2701010916557367,0.0729545997136206
GBM_grid_1_AutoML_1_20240830_174212_model_49,0.8117036085233965,0.2842438559441868,0.7450556062432592,0.1987364814219938,0.2708428096663043,0.0733558275479379
GBM_grid_1_AutoML_1_20240830_174212_model_50,0.8113288360638183,0.2924788938328694,0.7457124526903108,0.1969696969696969,0.2725571035317692,0.0742873746856275
GBM_3_AutoML_1_20240830_174212,0.8113288360638183,0.2838985186555715,0.7508660596648544,0.1893939393939394,0.2687229431497539,0.0722120201750658
GBM_grid_1_AutoML_1_20240830_174212_model_47,0.8099903629938965,0.3048509949007468,0.7497918066464012,0.2045454545454545,0.2722882538404489,0.0741408931794807
GBM_grid_1_AutoML_1_20240830_174212_model_72,0.8095085126887247,0.2842367188019606,0.7507478819618806,0.2045454545454545,0.272243244241318,0.0741163840350379
GBM_grid_1_AutoML_1_20240830_174212_model_76,0.8093478959203341,0.2772124049791859,0.7505782966332383,0.192927508298533,0.2673582842302979,0.0714804521465688
GBM_grid_1_AutoML_1_20240830_174212_model_82,0.8092675875361388,0.2876985442556453,0.7457000285317911,0.1911607238462362,0.268051513541145,0.0718516139116986
GBM_grid_1_AutoML_1_20240830_174212_model_13,0.8092408180747402,0.2886310439773092,0.7444913575512686,0.1893939393939394,0.2693634668225503,0.0725566772586631
GBM_grid_1_AutoML_1_20240830_174212_model_66,0.8091872791519434,0.297576903272485,0.745218806639578,0.1969696969696969,0.2706342266013968,0.0732428846081362
StackedEnsemble_AllModels_2_AutoML_1_20240830_174212,0.8082771174643967,0.286102426643849,0.7516432670869668,0.1911607238462362,0.2707563018899085,0.0733089750130993
GBM_grid_1_AutoML_1_20240830_174212_model_74,0.8078488060820216,0.2839314670177584,0.7520358387399275,0.1911607238462362,0.269203819421267,0.0724706963909981
GBM_grid_1_AutoML_1_20240830_174212_model_4,0.8076614198522326,0.3077763466931117,0.73946098751148,0.1946942927508298,0.2748095956342731,0.0755203138526727
GBM_grid_1_AutoML_1_20240830_174212_model_17,0.8068315665488811,0.2947457043531877,0.7474832825606623,0.1969696969696969,0.2702262017910866,0.073022200134437
StackedEnsemble_BestOfFamily_4_AutoML_1_20240830_174212,0.8067780276260842,0.3659198231181455,0.7174077162714855,0.2063122389977514,0.3002806790341809,0.0901684862012288
GBM_grid_1_AutoML_1_20240830_174212_model_15,0.8035121533354749,0.286912718078549,0.7508522746852141,0.1893939393939394,0.2673309053903305,0.0714658129768138
GBM_grid_1_AutoML_1_20240830_174212_model_33,0.803030303030303,0.2960079745106996,0.736193652831048,0.1969696969696969,0.2715998823487053,0.0737664960918305
GBM_grid_1_AutoML_1_20240830_174212_model_7,0.8020666024199593,0.2908786197770109,0.7373313365437806,0.2045454545454545,0.2725232394516728,0.0742689160412337
